,ID,UPDATE,STATUS,MOTIVE,INTEREST_RATE,AMOUNT,CAT,TXN,CP,DELIVERY_SCORE
85,28,02:30.0,RISK,,,,,,,
86,28,46:16.1,APPROVED,PLASTIC,46,14900,37,,,
87,28,55:24.8,DELIVERED,,,,,,11560,4
88,28,12:44.1,,,,,,107.4273583,,
89,28,01:36.8,,,,,,288.9045753,,
90,29,28:47.9,RESPONSE,,,,,,,
91,29,01:31.7,RISK,,,,,,,
92,29,51:44.0,APPROVED,PLASTIC,42,51600,42,,,
93,29,33:34.6,DELIVERED,,,,,,11560,2
94,30,00:00.0,,,,,,,,
95,31,22:54.6,RESPONSE,,,,,,,
96,31,21:00.5,RISK,,,,,,,
97,31,27:18.8,APPROVED,PLASTIC,35,39700,37,,,
98,31,22:32.7,DELIVERED,,,,,,64000,1
99,31,00:21.0,,,,,,239.9107554,,
100,31,23:37.6,,,,,,30.66072102,,
101,33,56:26.0,RESPONSE,,,,,,,
102,33,48:04.7,RISK,,,,,,,
103,33,54:43.4,APPROVED,PLASTIC,35,36000,43,,,
104,33,44:43.3,DELIVERED,,,,,,53100,3
105,33,16:45.9,,,,,,189.502785,,
106,35,33:54.2,RESPONSE,,,,,,,
107,35,14:55.3,RISK,,,,,,,
108,35,20:06.7,APPROVED,DIGITAL,39,2000,43,,,
109,35,44:07.4,,,,,,96.61347961,,
110,35,54:24.7,,,,,,827.8906726,,
111,35,42:07.4,,,,,,711.5427222,,
112,35,25:04.2,,,,,,83.7901251,,
113,35,34:07.4,,,,,,119.3415642,,
114,37,50:37.5,RESPONSE,,,,,,,
115,37,11:35.5,RISK,,,,,,,
116,37,16:10.0,APPROVED,DIGITAL,45,3200,35,,,
117,37,06:25.4,,,,,,1529.738176,,
118,38,00:00.0,,,,,,,,
119,41,45:03.8,RESPONSE,,,,,,,
120,41,15:31.5,RISK,,,,,,,
121,41,48:27.4,REJECTED,USAGE,,,,,,
122,43,00:00.0,,,,,,,,
123,44,26:29.6,RESPONSE,,,,,,,
124,44,30:40.3,RISK,,,,,,,
125,44,06:12.4,APPROVED,DIGITAL,49,13200,35,,,
126,45,32:37.9,RESPONSE,,,,,,,
127,45,38:24.3,RISK,,,,,,,
128,45,40:50.8,APPROVED,PLASTIC,35,13000,45,,,
129,45,33:48.5,DELIVERED,,,,,,53100,2
130,46,00:00.0,,,,,,,,
131,47,57:29.1,RESPONSE,,,,,,,
132,47,09:24.3,RISK,,,,,,,
133,47,43:46.3,APPROVED,PLASTIC,46,15100,41,,,
134,47,29:24.0,DELIVERED,,,,,,44100,3
135,47,15:34.7,,,,,,51.24002299,,
136,49,18:08.2,RESPONSE,,,,,,,
137,49,27:43.9,RISK,,,,,,,
138,49,24:41.4,APPROVED,PLASTIC,46,7900,44,,,
139,49,50:56.9,DELIVERED,,,,,,53100,2
140,49,22:39.8,,,,,,594.7261333,,
141,51,38:29.9,RESPONSE,,,,,,,
142,51,35:23.5,RISK,,,,,,,
143,51,59:37.2,APPROVED,PLASTIC,40,5100,39,,,
144,51,33:57.6,DELIVERED,,,,,,11560,1
145,51,15:45.8,,,,,,54.19228183,,
146,51,40:20.6,,,,,,534.6157337,,
147,51,09:48.3,,,,,,377.7184525,,
148,51,53:13.8,,,,,,259.6505831,,
149,51,15:58.1,,,,,,290.2685821,,
150,52,20:34.7,RESPONSE,,,,,,,
151,52,53:42.8,RISK,,,,,,,
152,52,36:32.1,REJECTED,MOP,,,,,,
153,53,22:43.9,RESPONSE,,,,,,,
154,53,12:40.4,RISK,,,,,,,
155,53,51:23.5,APPROVED,PLASTIC,33,17200,34,,,
156,53,35:56.3,DELIVERED,,,,,,11560,3
157,53,59:44.1,,,,,,77.98098017,,
158,53,47:40.7,,,,,,118.4484228,,
159,53,20:00.3,,,,,,1410.012808,,
160,54,42:07.1,RESPONSE,,,,,,,
161,54,24:52.6,RISK,,,,,,,
162,54,16:32.1,REJECTED,EMPTY,,,,,,
163,56,00:00.0,,,,,,,,
164,57,00:00.0,,,,,,,,
165,58,02:57.1,RESPONSE,,,,,,,
166,58,48:56.2,RISK,,,,,,,
167,58,43:20.9,APPROVED,DIGITAL,30,17100,32,,,
168,58,02:04.1,,,,,,217.3354449,,
169,58,10:19.8,,,,,,279.4775294,,
170,58,55:58.0,,,,,,26.51169819,,
171,58,44:00.9,,,,,,35.95594841,,
172,59,20:19.3,RESPONSE,,,,,,,
173,59,07:40.3,RISK,,,,,,,
174,59,13:21.2,APPROVED,PLASTIC,49,4800,40,,,
175,59,45:06.7,DELIVERED,,,,,,64000,1
176,59,43:27.0,,,,,,575.3818641,,
177,59,42:03.5,,,,,,999.1450206,,
178,59,05:07.1,,,,,,640.7733108,,
179,60,58:15.0,RESPONSE,,,,,,,
180,60,27:18.0,RISK,,,,,,,
181,60,19:37.4,APPROVED,PLASTIC,31,13100,36,,,
182,60,00:23.8,DELIVERED,,,,,,44620,2
183,60,43:01.9,,,,,,163.5850142,,
184,60,27:31.3,,,,,,7959.955537,,
185,62,33:32.9,RESPONSE,,,,,,,
186,62,36:27.8,RISK,,,,,,,
187,62,39:48.7,APPROVED,DIGITAL,43,8200,34,,,
188,62,56:10.3,,,,,,126.6828149,,
189,62,44:33.6,,,,,,1054.384175,,
190,62,36:13.8,,,,,,99.20259856,,
191,62,50:16.0,,,,,,137.3731216,,
192,64,21:21.2,RESPONSE,,,,,,,
193,64,18:18.1,RISK,,,,,,,
194,64,57:34.4,APPROVED,PLASTIC,33,15300,39,,,
195,64,29:30.1,DELIVERED,,,,,,44620,2
196,64,03:09.8,,,,,,16404.2983,,
197,64,58:20.1,,,,,,23157.11791,,
198,64,41:53.1,,,,,,373.2864394,,
199,65,17:41.6,RESPONSE,,,,,,,
200,65,37:36.7,RISK,,,,,,,
201,65,19:26.2,APPROVED,DIGITAL,36,5200,43,,,
202,65,52:01.8,,,,,,35.11541157,,
203,65,58:18.3,,,,,,780.6038431,,
204,66,23:22.9,RESPONSE,,,,,,,
205,66,41:53.8,RISK,,,,,,,
206,66,15:28.1,REJECTED,USAGE,,,,,,
207,68,20:20.2,RESPONSE,,,,,,,
208,68,27:31.3,RISK,,,,,,,
209,68,50:01.0,REJECTED,INCOME,,,,,,
210,69,45:43.1,RESPONSE,,,,,,,
211,69,27:05.3,RISK,,,,,,,
212,69,55:05.2,APPROVED,PLASTIC,30,14800,31,,,
213,69,31:07.7,DELIVERED,,,,,,44100,4
214,69,02:05.4,,,,,,117.1275275,,
215,69,28:46.6,,,,,,244.3767827,,
216,69,29:07.5,,,,,,558.3251414,,
217,70,51:42.6,RESPONSE,,,,,,,
218,70,49:21.9,RISK,,,,,,,
219,70,59:25.7,REJECTED,EMPTY,,,,,,
220,71,00:00.0,,,,,,,,
221,72,36:05.2,RESPONSE,,,,,,,
222,72,11:34.7,RISK,,,,,,,
223,72,15:14.9,APPROVED,PLASTIC,32,300,32,,,
224,72,11:13.8,DELIVERED,,,,,,53100,0
225,72,18:54.0,,,,,,3358.294171,,
226,75,46:25.6,RESPONSE,,,,,,,
227,75,26:17.1,RISK,,,,,,,
228,75,09:24.1,APPROVED,DIGITAL,37,0,42,,,
229,76,19:12.0,RESPONSE,,,,,,,
230,76,13:15.4,RISK,,,,,,,
231,76,35:11.8,APPROVED,DIGITAL,47,39200,42,,,
232,76,01:25.1,,,,,,56.20647139,,
233,77,30:15.9,RESPONSE,,,,,,,
234,77,52:53.3,RISK,,,,,,,
235,77,28:43.5,APPROVED,DIGITAL,45,2900,32,,,
236,77,22:24.0,,,,,,81.21768078,,
237,77,59:01.7,,,,,,9461.727153,,
238,77,58:08.2,,,,,,18.3832334,,
239,77,53:11.5,,,,,,533.3906621,,
240,78,00:00.0,,,,,,,,
241,79,36:18.8,RESPONSE,,,,,,,
242,79,53:56.4,RISK,,,,,,,
243,79,26:04.6,APPROVED,PLASTIC,38,78900,35,,,
244,79,50:27.6,DELIVERED,,,,,,53100,1
245,79,44:05.2,,,,,,4106.537792,,
246,79,06:15.2,,,,,,44.99856153,,
247,79,34:33.8,,,,,,2.800887013,,
248,79,24:56.5,,,,,,57.08818007,,
249,80,17:07.4,RESPONSE,,,,,,,
250,80,33:19.7,RISK,,,,,,,
251,80,03:43.5,REJECTED,MOP,,,,,,
252,81,00:00.0,,,,,,,,
253,83,00:00.0,,,,,,,,
254,85,03:15.7,RESPONSE,,,,,,,
255,85,04:33.9,RISK,,,,,,,
256,85,41:49.8,REJECTED,INCOME,,,,,,
257,86,24:16.9,RESPONSE,,,,,,,
258,86,19:23.4,RISK,,,,,,,
259,86,56:15.9,REJECTED,EMPTY,,,,,,
260,88,23:48.2,RESPONSE,,,,,,,
261,88,21:46.7,RISK,,,,,,,
262,88,41:22.9,APPROVED,PLASTIC,38,18200,43,,,
263,88,18:28.6,DELIVERED,,,,,,53100,3
264,88,22:13.3,,,,,,507.3562627,,
265,89,19:18.8,RESPONSE,,,,,,,
266,89,32:12.3,RISK,,,,,,,
267,89,22:54.9,APPROVED,PLASTIC,36,4300,39,,,
268,89,19:24.4,DELIVERED,,,,,,44100,3
269,89,24:03.6,,,,,,149.7448582,,
270,89,27:01.8,,,,,,1682.415673,,
271,89,56:17.0,,,,,,138.8226505,,
272,89,48:55.8,,,,,,1355.411819,,
273,89,46:12.9,,,,,,46.09894062,,
274,92,57:11.6,RESPONSE,,,,,,,
275,92,09:30.9,RISK,,,,,,,
276,92,38:54.4,APPROVED,PLASTIC,43,1700,37,,,
277,92,45:03.7,DELIVERED,,,,,,11560,1
278,94,01:08.6,RESPONSE,,,,,,,
279,94,35:24.7,RISK,,,,,,,
280,94,27:52.2,APPROVED,DIGITAL,42,200,34,,,
281,94,26:04.4,,,,,,3797.149191,,
282,94,12:30.6,,,,,,772.8277326,,
283,94,50:12.2,,,,,,56.89397721,,
284,94,04:48.6,,,,,,1667.141639,,
285,94,17:48.3,,,,,,78.58900052,,
286,96,00:00.0,,,,,,,,
287,98,00:00.0,,,,,,,,
288,99,24:44.3,RESPONSE,,,,,,,
289,99,19:23.1,RISK,,,,,,,
290,99,20:45.9,APPROVED,DIGITAL,48,1400,48,,,
291,99,30:41.8,,,,,,125.385366,,
292,99,31:28.3,,,,,,459.6638968,,
293,99,19:32.3,,,,,,7135.489459,,
294,101,45:39.7,RESPONSE,,,,,,,
295,101,23:32.3,RISK,,,,,,,
296,101,24:35.1,APPROVED,DIGITAL,33,24600,34,,,
297,101,04:26.2,,,,,,17477.80799,,
298,101,45:14.1,,,,,,233.3493445,,
299,101,32:16.2,,,,,,364.6460484,,
300,103,46:07.7,RESPONSE,,,,,,,
301,103,34:59.1,RISK,,,,,,,
302,103,54:48.5,REJECTED,USAGE,,,,,,
303,104,45:14.0,RESPONSE,,,,,,,
304,104,41:59.1,RISK,,,,,,,
305,104,44:56.2,APPROVED,PLASTIC,34,19100,35,,,
306,104,58:33.6,DELIVERED,,,,,,44100,2
307,104,59:16.0,,,,,,373.5732293,,
308,104,08:16.6,,,,,,153.8435124,,
309,104,23:23.0,,,,,,20.27548845,,
310,105,31:21.9,RESPONSE,,,,,,,
311,105,30:35.7,RISK,,,,,,,
312,105,37:35.6,APPROVED,PLASTIC,49,2700,48,,,
313,105,31:22.9,DELIVERED,,,,,,53100,2
314,108,00:00.0,,,,,,,,
315,114,33:25.4,RESPONSE,,,,,,,
316,114,30:57.9,RISK,,,,,,,
317,114,40:09.9,REJECTED,MOP,,,,,,
318,115,45:46.4,RESPONSE,,,,,,,
319,115,33:49.5,RISK,,,,,,,
320,115,34:48.4,APPROVED,PLASTIC,46,27400,32,,,
321,115,00:32.0,DELIVERED,,,,,,64000,1
322,115,02:57.5,,,,,,1657.53747,,
323,115,41:51.7,,,,,,2.532160501,,
324,115,25:54.7,,,,,,356.7106312,,
325,115,10:41.6,,,,,,13.87603499,,
326,115,44:15.4,,,,,,1.518921496,,
327,116,00:00.0,,,,,,,,
328,117,45:37.5,RESPONSE,,,,,,,
329,117,01:32.5,RISK,,,,,,,
330,117,32:25.6,APPROVED,DIGITAL,44,24400,46,,,
331,117,34:41.2,,,,,,6798.163805,,
332,117,38:33.1,,,,,,351.9476371,,
333,117,52:30.9,,,,,,8.981292161,,
334,118,43:41.5,RESPONSE,,,,,,,
335,118,48:36.5,RISK,,,,,,,
336,118,37:09.5,APPROVED,DIGITAL,40,36700,33,,,
337,118,10:38.7,,,,,,257.6856617,,
338,118,22:22.6,,,,,,130.7528602,,
339,118,04:40.7,,,,,,27.65909111,,
340,118,15:11.1,,,,,,196.357069,,
341,118,12:45.0,,,,,,1485.22815,,
342,119,07:21.2,RESPONSE,,,,,,,
343,119,05:15.2,RISK,,,,,,,
344,119,44:42.0,APPROVED,DIGITAL,35,9700,47,,,
345,119,31:00.8,,,,,,121.2188154,,
346,119,39:00.4,,,,,,102.3001711,,
347,120,43:12.2,RESPONSE,,,,,,,
348,120,10:19.4,RISK,,,,,,,
349,120,43:23.6,APPROVED,DIGITAL,43,700,34,,,
350,120,31:30.1,,,,,,1929.780901,,
351,120,25:32.6,,,,,,14.67891566,,
352,122,12:07.1,RESPONSE,,,,,,,
353,122,13:14.5,RISK,,,,,,,
354,122,04:31.4,REJECTED,INCOME,,,,,,
355,123,00:00.0,,,,,,,,
356,124,13:34.0,RESPONSE,,,,,,,
357,124,19:31.0,RISK,,,,,,,
358,124,33:59.9,REJECTED,INCOME,,,,,,
359,125,00:00.0,,,,,,,,
360,126,26:47.8,RESPONSE,,,,,,,
361,126,06:03.7,RISK,,,,,,,
362,126,50:38.7,REJECTED,MOP,,,,,,
363,127,08:27.7,RESPONSE,,,,,,,
364,127,43:23.5,RISK,,,,,,,
365,127,55:19.8,APPROVED,DIGITAL,33,12600,44,,,
366,127,04:28.3,,,,,,134.4055233,,
367,127,33:11.2,,,,,,65.59245668,,
368,127,40:54.3,,,,,,60.19226636,,
369,128,28:53.1,RESPONSE,,,,,,,
370,128,53:03.1,RISK,,,,,,,
371,128,56:51.2,REJECTED,USAGE,,,,,,
372,129,43:02.9,RESPONSE,,,,,,,
373,129,54:25.2,RISK,,,,,,,
374,129,08:59.4,APPROVED,PLASTIC,45,23600,37,,,
375,129,35:02.8,DELIVERED,,,,,,44100,0
376,129,03:46.0,,,,,,44.75454473,,
377,129,07:01.4,,,,,,317.932142,,
378,129,36:14.2,,,,,,26441.91077,,
379,129,34:24.8,,,,,,504.2925909,,
380,130,44:28.9,RESPONSE,,,,,,,
381,130,43:31.9,RISK,,,,,,,
382,130,24:02.0,REJECTED,USAGE,,,,,,
383,131,00:00.0,,,,,,,,
384,132,26:18.9,RESPONSE,,,,,,,
385,132,47:03.6,RISK,,,,,,,
386,132,43:03.9,REJECTED,MOP,,,,,,
387,133,00:00.0,,,,,,,,
388,134,51:33.0,RESPONSE,,,,,,,
389,134,01:36.6,RISK,,,,,,,
390,134,28:57.6,APPROVED,DIGITAL,40,3200,49,,,
391,134,27:22.4,,,,,,184.6786533,,
392,135,00:08.3,RESPONSE,,,,,,,
393,135,59:52.1,RISK,,,,,,,
394,135,42:52.4,APPROVED,PLASTIC,35,9900,46,,,
395,135,34:22.9,DELIVERED,,,,,,64000,2
396,135,48:59.8,,,,,,1640.482812,,
397,135,33:46.8,,,,,,23103.61045,,
398,135,16:18.0,,,,,,1029.4493,,
399,136,33:26.3,RESPONSE,,,,,,,
400,136,20:17.2,RISK,,,,,,,
401,136,12:53.8,APPROVED,PLASTIC,49,7900,42,,,
402,136,59:33.7,DELIVERED,,,,,,44620,3
403,136,03:15.3,,,,,,174.061074,,
404,136,34:28.0,,,,,,34.11562895,,
405,136,37:57.4,,,,,,80.95974859,,
406,136,48:17.8,,,,,,1.238863475,,
407,136,22:12.3,,,,,,95.37234941,,
408,137,35:34.4,RESPONSE,,,,,,,
409,137,55:49.8,RISK,,,,,,,
410,137,17:50.7,REJECTED,EMPTY,,,,,,
411,139,07:44.7,RESPONSE,,,,,,,
412,139,56:03.4,RISK,,,,,,,
413,139,39:23.3,APPROVED,DIGITAL,49,4400,34,,,
414,139,07:33.3,,,,,,1210.900068,,
415,139,58:46.0,,,,,,16360.39606,,
416,139,07:59.6,,,,,,11.89605798,,
417,140,29:17.6,RESPONSE,,,,,,,
418,140,20:05.2,RISK,,,,,,,
419,140,45:21.7,APPROVED,PLASTIC,41,2200,40,,,
420,140,17:45.9,DELIVERED,,,,,,44100,0
421,140,55:21.3,,,,,,2261.324965,,
422,140,26:22.3,,,,,,12.29641124,,
423,140,59:46.1,,,,,,479.26629,,
424,141,50:03.5,RESPONSE,,,,,,,
425,141,22:48.1,RISK,,,,,,,
426,141,35:29.7,APPROVED,DIGITAL,49,29800,41,,,
427,142,46:41.1,RESPONSE,,,,,,,
428,142,45:22.8,RISK,,,,,,,
429,142,21:40.4,REJECTED,USAGE,,,,,,
430,143,51:53.0,RESPONSE,,,,,,,
431,143,32:38.3,RISK,,,,,,,
432,143,36:27.4,APPROVED,PLASTIC,32,17700,46,,,
433,143,05:05.1,DELIVERED,,,,,,44100,1
434,143,42:55.5,,,,,,5224.386979,,
435,145,49:18.2,RESPONSE,,,,,,,
436,145,48:39.8,RISK,,,,,,,
437,145,41:43.2,APPROVED,DIGITAL,38,37400,41,,,
438,145,52:34.3,,,,,,3173.523983,,
439,145,58:39.1,,,,,,2364.903876,,
440,145,12:51.8,,,,,,58.22102836,,
441,145,19:30.1,,,,,,74.2058714,,
442,146,00:00.0,,,,,,,,
443,147,53:27.3,RESPONSE,,,,,,,
444,147,40:07.6,RISK,,,,,,,
445,147,14:59.2,APPROVED,DIGITAL,31,9600,31,,,
446,147,43:33.1,,,,,,888.0557989,,
447,147,12:44.8,,,,,,358.8675499,,
448,147,00:28.9,,,,,,316.7309122,,
449,147,17:36.1,,,,,,9.575112508,,
450,147,07:11.8,,,,,,122.0844579,,
451,148,03:55.2,RESPONSE,,,,,,,
452,148,55:48.3,RISK,,,,,,,
453,148,58:55.6,REJECTED,USAGE,,,,,,
454,150,41:48.4,RESPONSE,,,,,,,
455,150,58:46.8,RISK,,,,,,,
456,150,18:06.5,APPROVED,PLASTIC,49,18900,48,,,
457,150,51:28.3,DELIVERED,,,,,,44100,1
458,150,02:08.8,,,,,,3680.834805,,
459,150,20:02.6,,,,,,60.92755054,,
460,150,41:47.6,,,,,,17.05490733,,
461,150,45:19.8,,,,,,6172.176652,,
462,150,06:30.5,,,,,,287.2856172,,
463,152,00:00.0,,,,,,,,
464,153,00:18.1,RESPONSE,,,,,,,
465,153,26:55.9,RISK,,,,,,,
466,153,25:39.6,APPROVED,PLASTIC,42,20200,37,,,
467,153,38:14.1,DELIVERED,,,,,,53100,0
468,153,22:19.1,,,,,,268.2027083,,
469,153,57:16.2,,,,,,426.7240909,,
470,153,06:22.4,,,,,,124.872934,,
471,153,26:54.9,,,,,,3304.675089,,
472,153,02:00.8,,,,,,82.29078884,,
473,154,26:25.7,RESPONSE,,,,,,,
474,154,17:05.0,RISK,,,,,,,
475,154,49:04.7,REJECTED,INCOME,,,,,,
476,155,17:28.1,RESPONSE,,,,,,,
477,155,02:19.9,RISK,,,,,,,
478,155,50:07.8,APPROVED,DIGITAL,45,53200,32,,,
479,158,36:22.5,RESPONSE,,,,,,,
480,158,37:04.2,RISK,,,,,,,
481,158,58:33.7,APPROVED,PLASTIC,40,36600,48,,,
482,158,42:34.9,DELIVERED,,,,,,11560,2
483,158,21:26.1,,,,,,75.39058645,,
484,160,57:11.7,RESPONSE,,,,,,,
485,160,04:51.4,RISK,,,,,,,
486,160,55:38.5,APPROVED,PLASTIC,40,5100,36,,,
487,160,44:17.1,DELIVERED,,,,,,64000,3
488,160,40:36.4,,,,,,1131.015475,,
489,160,05:55.6,,,,,,10252.23071,,
490,162,58:37.0,RESPONSE,,,,,,,
491,162,06:27.7,RISK,,,,,,,
492,162,08:45.9,APPROVED,PLASTIC,49,25100,37,,,
493,162,16:48.8,DELIVERED,,,,,,53100,3
494,162,48:44.2,,,,,,222.4153166,,
495,162,20:29.3,,,,,,78.49793776,,
496,162,59:06.2,,,,,,5819.401033,,
497,162,30:48.4,,,,,,2843.607511,,
498,163,29:35.1,RESPONSE,,,,,,,
499,163,03:16.0,RISK,,,,,,,
500,163,40:57.7,APPROVED,PLASTIC,47,4500,40,,,
501,163,16:36.4,DELIVERED,,,,,,53100,5
502,163,11:13.0,,,,,,7860.382649,,
503,163,31:25.7,,,,,,28.70522046,,
504,164,35:25.9,RESPONSE,,,,,,,
505,164,37:38.1,RISK,,,,,,,
506,164,58:54.9,APPROVED,PLASTIC,45,19600,47,,,
507,164,49:48.1,DELIVERED,,,,,,64000,2
508,164,45:13.1,,,,,,603.8415931,,
509,167,27:53.4,RESPONSE,,,,,,,
510,167,19:52.8,RISK,,,,,,,
511,167,45:43.6,REJECTED,INCOME,,,,,,
512,168,33:28.6,RESPONSE,,,,,,,
513,168,22:44.1,RISK,,,,,,,
514,168,52:28.5,APPROVED,PLASTIC,32,17700,49,,,
515,168,31:35.5,DELIVERED,,,,,,53100,1
516,168,41:21.9,,,,,,1800.309938,,
517,168,35:50.5,,,,,,503.2736269,,
518,168,22:55.5,,,,,,194.2106366,,
519,168,21:42.0,,,,,,2770.235975,,
520,168,48:51.0,,,,,,242.8369011,,
521,169,00:00.0,,,,,,,,
522,171,47:12.3,RESPONSE,,,,,,,
523,171,51:28.9,RISK,,,,,,,
524,171,56:13.6,APPROVED,DIGITAL,45,2600,43,,,
525,171,42:34.3,,,,,,61.94396866,,
526,171,11:41.7,,,,,,2054.14633,,
527,171,42:15.9,,,,,,155.8796114,,
528,171,50:10.7,,,,,,5.503774564,,
529,171,32:13.8,,,,,,373.3039849,,
530,172,38:42.6,RESPONSE,,,,,,,
531,172,14:25.4,RISK,,,,,,,
532,172,41:04.5,REJECTED,INCOME,,,,,,
533,173,44:40.3,RESPONSE,,,,,,,
534,173,34:47.0,RISK,,,,,,,
535,173,55:34.5,APPROVED,PLASTIC,44,12200,46,,,
536,173,56:44.5,DELIVERED,,,,,,44100,2
537,173,18:11.1,,,,,,109.3746659,,
538,173,11:48.8,,,,,,1101.147151,,
539,173,19:58.0,,,,,,303.1650286,,
540,174,00:00.0,,,,,,,,
541,176,35:55.3,RESPONSE,,,,,,,
542,176,38:49.2,RISK,,,,,,,
543,176,54:44.1,APPROVED,DIGITAL,45,22000,34,,,
544,176,06:55.5,,,,,,246.0702403,,
545,176,28:19.4,,,,,,41150.40821,,
546,176,41:53.3,,,,,,71.86238853,,
547,178,46:41.6,RESPONSE,,,,,,,
548,178,29:13.2,RISK,,,,,,,
549,178,16:40.5,APPROVED,PLASTIC,44,1500,46,,,
550,178,49:07.1,DELIVERED,,,,,,11560,4
551,178,27:19.1,,,,,,49.54555102,,
552,180,29:10.6,RESPONSE,,,,,,,
553,180,59:52.9,RISK,,,,,,,
554,180,33:11.6,APPROVED,PLASTIC,36,11300,34,,,
555,180,15:08.9,DELIVERED,,,,,,11560,2
556,180,44:25.8,,,,,,166.4680912,,
557,180,07:12.3,,,,,,63.8341377,,
558,181,00:00.0,,,,,,,,
559,182,22:56.0,RESPONSE,,,,,,,
560,182,01:34.5,RISK,,,,,,,
561,182,23:52.8,APPROVED,PLASTIC,31,73900,31,,,
562,182,35:53.1,DELIVERED,,,,,,53100,1
563,182,57:32.6,,,,,,80.25196991,,
564,182,05:59.4,,,,,,1086.09542,,
565,182,42:31.8,,,,,,315.9828288,,
566,182,39:55.6,,,,,,562.2823213,,
567,182,09:01.1,,,,,,232.4290343,,
